fno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,4,1,2,2,2,2,2,2,5,0,0,4,0,2,1,4,1,1,0,2,2
1,0,1,1,1,0,2,1,1,0,2,1,1,1,3,0,1,0,0,2,1,3
2,0,0,0,1,1,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0
3,3,6,6,3,3,3,0,2,3,0,6,1,1,3,3,1,2,2,1,4,2
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,4,1,2,0,4,2,4,5,4,6,3,6,2,4,3,2,3,4,8,5,6
6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
8,2,2,3,6,1,3,4,4,3,1,2,0,2,2,5,2,1,1,3,4,6
9,2,2,0,2,4,2,4,5,6,2,3,3,3,3,2,0,3,1,5,2,1
10,5,3,3,9,7,4,10,4,5,4,3,3,5,5,3,3,6,6,5,2,2
11,0,1,0,1,2,0,0,0,0,1,0,3,1,2,1,0,1,1,1,2,2
12,1,2,0,0,1,0,0,0,0,3,1,0,0,0,2,0,0,1,1,2,1
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
14,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,1,3,0,1
15,1,0,1,1,3,1,2,2,3,4,0,1,2,4,2,1,3,4,2,2,2
16,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1
19,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,0,0,1,0,1,0,2,1,1,2,0,1,2,1,2,0,0,1,0,0,0
21,2,3,2,3,1,2,3,2,1,5,1,4,1,1,1,2,0,4,0,2,2
22,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0
23,0,1,1,1,0,2,1,1,0,2,2,3,0,1,1,1,2,1,1,2,0
24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,1
26,2,1,0,0,3,0,0,1,0,0,2,1,1,1,1,1,0,0,2,0,1
27,4,1,1,4,4,2,5,2,8,4,3,0,0,2,1,2,2,1,1,0,4
28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1
31,2,1,3,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1
32,1,2,3,3,3,2,5,3,3,1,4,4,4,2,2,3,1,3,2,3,3
33,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,2,2,2,1,5,2,3,4,3,1,1,3,1,0,1,1,2,3,0,2,2
35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,3,7,1,2,5,1,2,1,4,3,3,5,2,4,0,6,3,0,0,2,1
37,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,1,2,2,0,2,0,0,4,1,1,2,2,0,0,2,0,3,1,1,0
40,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
41,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
42,3,1,0,1,2,1,0,1,1,2,1,0,0,0,1,1,1,0,2,1,1
43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
44,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,2,3,3,0,4,2,3,1,1,3,2,3,2,1,1,1,1,4,2,5,4
48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,0,2,4,2,1,0,1,1,1,2,0,2,0,1,2,2,2,0,2,3,0
51,4,4,3,7,2,1,7,7,7,5,5,9,1,5,8,7,7,3,2,3,4
52,2,2,2,1,2,3,0,4,2,4,0,3,2,3,0,1,3,3,0,2,2
53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,0,2,0,1,1,0,0,0,0,1,2,0,2,2,0,1,0,0,1,1,0
56,3,8,9,3,7,8,4,6,3,2,6,5,6,6,5,9,4,4,5,3,2
57,5,1,5,2,1,4,8,3,1,7,1,2,1,3,4,3,2,5,1,1,1
58,2,2,5,2,6,4,3,2,0,1,1,6,3,3,6,3,7,4,1,4,2
59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
61,1,1,1,2,0,0,1,3,4,0,0,1,1,1,1,1,2,2,0,0,1
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63,8,4,6,8,1,8,7,7,6,7,0,5,8,8,4,7,5,5,9,10,3
64,0,0,1,1,2,2,0,1,1,0,3,0,1,1,1,1,0,1,0,1,0
65,0,0,1,0,0,2,1,2,0,1,0,2,0,1,0,1,2,0,1,2,1
66,1,1,1,0,1,0,2,1,0,0,3,2,2,0,2,0,3,2,1,0,0
67,6,5,8,13,3,3,7,1,6,6,9,7,2,4,4,1,4,8,4,7,8
68,5,2,4,1,0,1,4,0,1,5,3,0,1,2,1,1,4,3,1,2,1
69,1,1,1,0,1,5,1,0,0,0,1,1,1,1,1,0,1,1,2,1,0
70,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,2,1,1,0,0,0,1,3,3,1,1,2,5,2,1,3,0,1
73,3,6,1,1,1,2,1,1,2,1,2,3,4,5,3,2,2,4,4,5,3
74,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
75,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0
76,5,1,1,0,2,1,1,1,3,2,4,1,2,0,0,4,0,1,2,2,2
77,0,1,0,1,0,0,0,1,1,1,0,1,3,1,1,0,2,0,3,3,1
78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2,3,2,0,1,0,1,1,3,0,0,0,3,0,1,0,1,0,0,1,2
80,1,0,2,0,2,3,2,0,0,0,1,1,1,2,1,3,1,1,1,2,0
81,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,1
82,3,6,1,1,1,0,1,1,2,1,1,2,3,4,3,1,2,3,3,5,1
83,1,1,0,1,0,2,2,2,1,1,1,2,2,3,0,1,2,0,0,0,0
84,0,1,2,1,2,1,1,0,1,2,2,1,2,0,2,0,1,1,0,2,2
