bno,ts,value
0,0,4
0,1,1
0,2,2
0,3,2
0,4,2
0,5,2
0,6,2
0,7,2
0,8,5
0,9,0
0,10,0
0,11,4
0,12,0
0,13,2
0,14,1
0,15,4
0,16,1
0,17,1
0,18,0
0,19,2
0,20,2
1,0,0
1,1,1
1,2,1
1,3,1
1,4,0
1,5,2
1,6,1
1,7,1
1,8,0
1,9,2
1,10,1
1,11,1
1,12,1
1,13,3
1,14,0
1,15,1
1,16,0
1,17,0
1,18,2
1,19,1
1,20,3
2,0,0
2,1,0
2,2,0
2,3,1
2,4,1
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,2
2,11,0
2,12,2
2,13,1
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
3,0,3
3,1,6
3,2,6
3,3,3
3,4,3
3,5,3
3,6,0
3,7,2
3,8,3
3,9,0
3,10,6
3,11,1
3,12,1
3,13,3
3,14,3
3,15,1
3,16,2
3,17,2
3,18,1
3,19,4
3,20,2
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,1
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
5,0,4
5,1,1
5,2,2
5,3,0
5,4,4
5,5,2
5,6,4
5,7,5
5,8,4
5,9,6
5,10,3
5,11,6
5,12,2
5,13,4
5,14,3
5,15,2
5,16,3
5,17,4
5,18,8
5,19,5
5,20,6
6,0,0
6,1,0
6,2,1
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,1
6,9,0
6,10,0
6,11,0
6,12,0
6,13,0
6,14,0
6,15,0
6,16,0
6,17,0
6,18,0
6,19,0
6,20,0
7,0,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,2
7,7,0
7,8,0
7,9,0
7,10,0
7,11,0
7,12,0
7,13,1
7,14,0
7,15,1
7,16,0
7,17,0
7,18,0
7,19,0
7,20,0
8,0,2
8,1,2
8,2,3
8,3,6
8,4,1
8,5,3
8,6,4
8,7,4
8,8,3
8,9,1
8,10,2
8,11,0
8,12,2
8,13,2
8,14,5
8,15,2
8,16,1
8,17,1
8,18,3
8,19,4
8,20,6
9,0,2
9,1,2
9,2,0
9,3,2
9,4,4
9,5,2
9,6,4
9,7,5
9,8,6
9,9,2
9,10,3
9,11,3
9,12,3
9,13,3
9,14,2
9,15,0
9,16,3
9,17,1
9,18,5
9,19,2
9,20,1
10,0,5
10,1,3
10,2,3
10,3,9
10,4,7
10,5,4
10,6,10
10,7,4
10,8,5
10,9,4
10,10,3
10,11,3
10,12,5
10,13,5
10,14,3
10,15,3
10,16,6
10,17,6
10,18,5
10,19,2
10,20,2
11,0,0
11,1,1
11,2,0
11,3,1
11,4,2
11,5,0
11,6,0
11,7,0
11,8,0
11,9,1
11,10,0
11,11,3
11,12,1
11,13,2
11,14,1
11,15,0
11,16,1
11,17,1
11,18,1
11,19,2
11,20,2
12,0,1
12,1,2
12,2,0
12,3,0
12,4,1
12,5,0
12,6,0
12,7,0
12,8,0
12,9,3
12,10,1
12,11,0
12,12,0
12,13,0
12,14,2
12,15,0
12,16,0
12,17,1
12,18,1
12,19,2
12,20,1
13,0,0
13,1,0
13,2,0
13,3,0
13,4,0
13,5,0
13,6,0
13,7,0
13,8,0
13,9,0
13,10,0
13,11,0
13,12,0
13,13,0
13,14,0
13,15,1
13,16,0
13,17,0
13,18,0
13,19,1
13,20,0
14,0,0
14,1,1
14,2,0
14,3,0
14,4,0
14,5,2
14,6,0
14,7,0
14,8,0
14,9,0
14,10,1
14,11,1
14,12,0
14,13,0
14,14,0
14,15,0
14,16,2
14,17,1
14,18,3
14,19,0
14,20,1
15,0,1
15,1,0
15,2,1
15,3,1
15,4,3
15,5,1
15,6,2
15,7,2
15,8,3
15,9,4
15,10,0
15,11,1
15,12,2
15,13,4
15,14,2
15,15,1
15,16,3
15,17,4
15,18,2
15,19,2
15,20,2
16,0,0
16,1,0
16,2,0
16,3,2
16,4,0
16,5,1
16,6,0
16,7,0
16,8,0
16,9,0
16,10,1
16,11,1
16,12,0
16,13,0
16,14,0
16,15,1
16,16,0
16,17,0
16,18,0
16,19,1
16,20,0
17,0,0
17,1,0
17,2,0
17,3,0
17,4,0
17,5,0
17,6,0
17,7,0
17,8,0
17,9,0
17,10,0
17,11,0
17,12,0
17,13,0
17,14,1
17,15,0
17,16,0
17,17,0
17,18,0
17,19,0
17,20,0
18,0,0
18,1,1
18,2,0
18,3,0
18,4,0
18,5,0
18,6,0
18,7,1
18,8,0
18,9,0
18,10,0
18,11,0
18,12,0
18,13,0
18,14,0
18,15,1
18,16,0
18,17,2
18,18,0
18,19,0
18,20,1
19,0,0
19,1,0
19,2,0
19,3,1
19,4,0
19,5,1
19,6,0
19,7,0
19,8,0
19,9,0
19,10,0
19,11,0
19,12,0
19,13,0
19,14,0
19,15,0
19,16,0
19,17,0
19,18,0
19,19,0
19,20,1
20,0,0
20,1,0
20,2,1
20,3,0
20,4,1
20,5,0
20,6,2
20,7,1
20,8,1
20,9,2
20,10,0
20,11,1
20,12,2
20,13,1
20,14,2
20,15,0
20,16,0
20,17,1
20,18,0
20,19,0
20,20,0
21,0,2
21,1,3
21,2,2
21,3,3
21,4,1
21,5,2
21,6,3
21,7,2
21,8,1
21,9,5
21,10,1
21,11,4
21,12,1
21,13,1
21,14,1
21,15,2
21,16,0
21,17,4
21,18,0
21,19,2
21,20,2
22,0,2
22,1,0
22,2,0
22,3,0
22,4,0
22,5,0
22,6,0
22,7,2
22,8,0
22,9,1
22,10,0
22,11,0
22,12,0
22,13,0
22,14,0
22,15,0
22,16,1
22,17,0
22,18,0
22,19,0
22,20,0
23,0,0
23,1,1
23,2,1
23,3,1
23,4,0
23,5,2
23,6,1
23,7,1
23,8,0
23,9,2
23,10,2
23,11,3
23,12,0
23,13,1
23,14,1
23,15,1
23,16,2
23,17,1
23,18,1
23,19,2
23,20,0
24,0,0
24,1,1
24,2,0
24,3,0
24,4,0
24,5,0
24,6,0
24,7,0
24,8,0
24,9,0
24,10,0
24,11,0
24,12,0
24,13,0
24,14,0
24,15,0
24,16,0
24,17,0
24,18,0
24,19,0
24,20,0
25,0,0
25,1,0
25,2,1
25,3,0
25,4,1
25,5,0
25,6,0
25,7,0
25,8,2
25,9,0
25,10,0
25,11,2
25,12,0
25,13,0
25,14,0
25,15,0
25,16,0
25,17,1
25,18,0
25,19,1
25,20,1
26,0,2
26,1,1
26,2,0
26,3,0
26,4,3
26,5,0
26,6,0
26,7,1
26,8,0
26,9,0
26,10,2
26,11,1
26,12,1
26,13,1
26,14,1
26,15,1
26,16,0
26,17,0
26,18,2
26,19,0
26,20,1
27,0,4
27,1,1
27,2,1
27,3,4
27,4,4
27,5,2
27,6,5
27,7,2
27,8,8
27,9,4
27,10,3
27,11,0
27,12,0
27,13,2
27,14,1
27,15,2
27,16,2
27,17,1
27,18,1
27,19,0
27,20,4
28,0,0
28,1,0
28,2,0
28,3,0
28,4,0
28,5,0
28,6,0
28,7,0
28,8,1
28,9,0
28,10,0
28,11,0
28,12,0
28,13,0
28,14,0
28,15,0
28,16,1
28,17,0
28,18,0
28,19,0
28,20,0
29,0,0
29,1,0
29,2,1
29,3,0
29,4,0
29,5,0
29,6,0
29,7,0
29,8,0
29,9,0
29,10,0
29,11,0
29,12,0
29,13,0
29,14,1
29,15,0
29,16,0
29,17,0
29,18,0
29,19,0
29,20,0
30,0,0
30,1,0
30,2,0
30,3,0
30,4,0
30,5,2
