fno,ts,value
0,0,4
0,1,1
0,2,2
0,3,6
0,4,2
0,5,1
0,6,5
0,7,2
0,8,4
0,9,2
0,10,3
0,11,2
0,12,2
0,13,0
0,14,0
0,15,3
0,16,5
0,17,7
0,18,3
0,19,1
0,20,0
1,0,0
1,1,0
1,2,0
1,3,1
1,4,1
1,5,0
1,6,1
1,7,0
1,8,1
1,9,2
1,10,1
1,11,0
1,12,1
1,13,1
1,14,2
1,15,1
1,16,1
1,17,1
1,18,1
1,19,1
1,20,2
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
3,0,2
3,1,1
3,2,3
3,3,2
3,4,2
3,5,3
3,6,3
3,7,3
3,8,2
3,9,6
3,10,1
3,11,1
3,12,8
3,13,2
3,14,9
3,15,2
3,16,2
3,17,3
3,18,4
3,19,2
3,20,6
4,0,2
4,1,1
4,2,2
4,3,2
4,4,4
4,5,4
4,6,2
4,7,3
4,8,0
4,9,3
4,10,5
4,11,4
4,12,1
4,13,5
4,14,2
4,15,2
4,16,3
4,17,5
4,18,3
4,19,5
4,20,4
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,0
5,18,0
5,19,0
5,20,0
6,0,1
6,1,3
6,2,5
6,3,6
6,4,3
6,5,2
6,6,0
6,7,3
6,8,2
6,9,5
6,10,2
6,11,1
6,12,1
6,13,4
6,14,1
6,15,2
6,16,2
6,17,4
6,18,3
6,19,2
6,20,4
7,0,2
7,1,1
7,2,2
7,3,2
7,4,1
7,5,1
7,6,2
7,7,1
7,8,0
7,9,3
7,10,3
7,11,1
7,12,0
7,13,3
7,14,2
7,15,1
7,16,1
7,17,1
7,18,1
7,19,4
7,20,2
8,0,1
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
8,11,0
8,12,0
8,13,1
8,14,0
8,15,1
8,16,0
8,17,0
8,18,0
8,19,0
8,20,0
9,0,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,1
9,6,0
9,7,1
9,8,0
9,9,0
9,10,0
9,11,0
9,12,0
9,13,0
9,14,0
9,15,0
9,16,1
9,17,0
9,18,0
9,19,0
9,20,0
10,0,0
10,1,0
10,2,3
10,3,1
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,1
10,11,0
10,12,1
10,13,2
10,14,0
10,15,1
10,16,0
10,17,0
10,18,0
10,19,1
10,20,0
11,0,1
11,1,3
11,2,5
11,3,6
11,4,3
11,5,2
11,6,0
11,7,3
11,8,2
11,9,5
11,10,2
11,11,1
11,12,1
11,13,4
11,14,1
11,15,2
11,16,1
11,17,4
11,18,3
11,19,2
11,20,4
12,0,0
12,1,0
12,2,0
12,3,0
12,4,0
12,5,0
12,6,0
12,7,0
12,8,0
12,9,1
12,10,0
12,11,0
12,12,0
12,13,1
12,14,0
12,15,0
12,16,0
12,17,0
12,18,0
12,19,0
12,20,0
13,0,1
13,1,2
13,2,2
13,3,1
13,4,1
13,5,3
13,6,0
13,7,0
13,8,1
13,9,2
13,10,1
13,11,3
13,12,1
13,13,3
13,14,2
13,15,2
13,16,2
13,17,2
13,18,1
13,19,3
13,20,1
14,0,0
14,1,0
14,2,0
14,3,0
14,4,0
14,5,0
14,6,0
14,7,0
14,8,0
14,9,0
14,10,0
14,11,0
14,12,0
14,13,0
14,14,0
14,15,0
14,16,0
14,17,0
14,18,0
13,19,3
14,19,0
14,20,0
15,0,0
15,1,0
15,2,0
15,3,0
15,4,1
15,5,0
15,6,0
15,7,0
15,8,0
15,9,2
15,10,1
15,11,0
15,12,0
15,13,1
15,14,0
15,15,0
15,16,1
15,17,1
15,18,0
15,19,0
15,20,0
16,20,0
16,0,0
16,1,0
16,2,0
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,1
16,9,0
16,10,0
16,11,0
16,12,0
16,13,0
16,14,0
16,15,0
16,16,0
16,17,0
16,18,0
16,19,1
17,0,4
17,1,1
17,2,2
17,3,2
17,4,0
17,5,3
17,6,1
17,7,0
17,8,3
17,9,2
17,10,0
17,11,1
17,12,1
17,13,3
17,14,1
17,15,1
17,16,1
17,17,2
17,18,3
17,19,2
17,20,3
18,0,3
18,1,6
18,2,5
18,3,3
18,4,4
18,5,5
18,6,7
18,7,4
18,8,8
18,9,3
18,10,4
18,11,3
18,12,4
18,13,9
18,14,6
18,15,10
18,16,5
18,17,4
18,18,4
18,19,4
18,20,9
19,0,0
19,1,0
19,2,0
19,3,0
19,4,0
19,5,0
19,6,0
19,7,0
19,8,0
19,9,1
19,10,0
19,11,0
19,12,2
19,13,1
19,14,1
19,15,0
19,16,0
19,17,0
19,18,0
19,19,0
19,20,0
20,0,1
20,1,0
20,2,1
20,3,0
20,4,0
20,5,0
20,6,1
20,7,0
20,8,0
20,9,0
20,10,0
20,11,0
20,12,0
20,13,0
20,14,0
20,15,1
20,16,0
20,17,0
20,18,1
20,19,0
20,20,0
21,0,1
21,1,1
21,2,3
21,3,1
21,4,0
21,5,1
21,6,1
21,7,3
21,8,1
21,9,0
21,10,0
21,11,1
21,12,0
21,13,0
21,14,0
21,15,3
21,16,2
21,17,1
21,18,0
21,19,1
21,20,2
22,0,0
22,1,1
22,2,0
22,3,1
22,4,0
22,5,0
22,6,1
22,7,1
22,8,0
22,9,1
22,10,0
22,11,1
22,12,0
22,13,0
22,14,0
22,15,0
22,16,0
22,17,0
22,18,0
22,19,1
22,20,1
23,0,4
23,1,5
23,2,6
23,3,9
23,4,2
23,5,7
23,6,10
23,7,4
23,8,8
23,9,6
23,10,4
23,11,2
23,12,6
23,13,7
23,14,6
23,15,7
23,16,4
23,17,8
23,18,5
23,19,6
23,20,6
24,0,0
24,1,0
24,2,0
24,3,0
24,4,0
24,5,0
24,6,0
24,7,0
24,8,0
24,9,0
24,10,0
24,11,0
24,12,0
24,13,0
24,14,0
24,15,0
24,16,0
24,17,0
24,18,0
24,19,0
24,20,0
25,0,7
25,1,4
25,2,3
25,3,0
25,4,5
25,5,3
25,6,1
25,7,2
25,8,5
25,9,2
25,10,7
25,11,2
25,12,1
25,13,4
25,14,3
25,15,5
25,16,3
25,17,5
25,18,3
25,19,3
25,20,2
26,0,0
26,1,1
26,2,0
26,3,1
26,4,0
26,5,0
26,6,1
26,7,0
26,8,2
26,9,0
26,10,0
26,11,1
26,12,1
26,13,0
26,14,1
26,15,1
26,16,0
26,17,0
26,18,2
26,19,0
26,20,0
27,0,0
27,1,0
27,2,0
27,3,0
27,4,0
27,5,0
27,6,0
27,7,0
27,8,0
27,9,0
27,10,0
27,11,0
27,12,0
27,13,0
27,14,0
27,15,0
27,16,0
27,17,0
27,18,0
27,19,0
27,20,0
28,0,1
28,1,4
28,2,3
28,3,4
28,4,3
28,5,3
28,6,1
28,7,1
28,8,4
28,9,4
28,10,2
28,11,1
28,12,2
28,13,3
28,14,2
28,15,3
28,16,5
28,17,4
28,18,2
28,19,1
28,20,3
29,9,0
29,0,0
29,1,0
29,2,0
29,3,0
29,4,0
29,5,0
29,6,0
29,7,1
29,8,0
29,10,0
29,11,0
29,12,0
29,13,1
29,14,0
29,15,0
29,16,0
29,17,1
29,18,0
29,19,0
29,20,1
30,0,0
30,1,1
30,2,1
30,3,1
30,4,3
