fno,ts,value
0,0,0
0,1,1
0,2,1
0,3,1
0,4,0
0,5,4
0,6,1
0,7,1
0,8,0
0,9,2
0,10,2
0,11,3
0,12,1
0,13,1
0,14,1
0,15,2
0,16,2
0,17,2
0,18,2
0,19,2
0,20,2
1,0,0
1,1,1
1,2,3
1,3,1
1,4,3
1,5,1
1,6,1
1,7,0
1,8,2
1,9,3
1,10,1
1,11,2
1,12,4
1,13,1
1,14,2
1,15,0
1,16,4
1,17,0
1,18,1
1,19,1
1,20,1
2,0,0
2,1,0
2,2,0
2,3,0
2,4,1
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
3,0,2
3,1,2
3,2,5
3,3,2
3,4,6
3,5,4
3,6,3
3,7,2
3,8,0
3,9,1
3,10,1
3,11,6
3,12,3
3,13,3
3,14,6
3,15,3
3,16,7
3,17,4
3,18,1
3,19,4
3,20,2
4,0,5
4,1,3
4,2,2
4,3,3
4,4,2
4,5,4
4,6,5
4,7,4
4,8,1
4,9,5
4,10,4
4,11,4
4,12,1
4,13,4
4,14,3
4,15,4
4,16,2
4,17,7
4,18,0
4,19,3
4,20,4
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,1
5,17,0
5,18,0
5,19,0
5,20,0
6,0,5
6,1,1
6,2,5
6,3,2
6,4,1
6,5,4
6,6,8
6,7,3
6,8,1
6,9,7
6,10,1
6,11,2
6,12,1
6,13,3
6,14,4
6,15,3
6,16,2
6,17,5
6,18,1
6,19,1
6,20,1
7,0,3
7,1,0
7,2,0
7,3,0
7,4,1
7,5,2
7,6,2
7,7,2
7,8,1
7,9,1
7,10,3
7,11,0
7,12,0
7,13,3
7,14,2
7,15,2
7,16,2
7,17,3
7,18,0
7,19,1
7,20,2
8,0,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,1
8,11,0
8,12,0
8,13,0
8,14,0
8,15,0
8,16,0
