lno,ts,value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,1
1,0,0
1,1,1
1,2,1
1,3,1
1,4,0
1,5,4
1,6,1
1,7,1
1,8,0
1,9,2
1,10,2
1,11,3
1,12,1
1,13,1
1,14,1
1,15,2
1,16,2
1,17,2
1,18,2
1,19,2
1,20,2
2,0,3
2,1,6
2,2,6
2,3,3
2,4,3
2,5,5
2,6,1
2,7,4
2,8,3
2,9,0
2,10,6
2,11,2
2,12,1
2,13,3
2,14,3
2,15,4
2,16,3
2,17,2
2,18,1
2,19,4
2,20,3
3,0,0
3,1,0
3,2,0
3,3,1
3,4,0
3,5,0
3,6,1
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,1
4,0,1
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,2
4,7,0
4,8,0
4,9,1
4,10,0
4,11,0
4,12,0
4,13,0
4,14,1
4,15,0
4,16,1
4,17,0
4,18,0
4,19,0
4,20,2
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,1
5,16,0
5,17,0
5,18,0
5,19,0
5,20,0
6,0,0
6,1,1
6,2,1
6,3,1
6,4,0
6,5,4
6,6,1
6,7,1
6,8,0
6,9,2
6,10,2
6,11,3
6,12,1
6,13,1
6,14,1
6,15,2
6,16,2
6,17,2
6,18,2
6,19,2
6,20,2
7,0,1
7,1,0
7,2,0
7,3,2
7,4,3
7,5,1
7,6,1
7,7,3
7,8,0
7,9,3
7,10,4
7,11,2
7,12,0
7,13,2
7,14,1
7,15,2
7,16,0
7,17,1
7,18,2
7,19,3
7,20,3
8,0,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
8,11,0
8,12,0
8,13,0
8,14,0
8,15,0
8,16,0
8,17,0
8,18,1
8,19,0
8,20,0
9,0,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
9,10,0
9,11,0
9,12,0
9,13,1
9,14,0
9,15,0
9,16,1
9,17,0
9,18,0
9,19,0
9,20,0
10,0,0
10,1,0
10,2,2
10,3,2
10,4,0
10,5,1
10,6,1
10,7,1
10,8,0
10,9,2
10,10,1
10,11,3
10,12,0
10,13,0
10,14,1
10,15,0
10,16,0
10,17,0
10,18,0
10,19,1
10,20,1
11,0,0
11,1,0
11,2,1
11,3,0
11,4,0
11,5,0
11,6,2
11,7,0
11,8,1
11,9,0
11,10,0
11,11,0
11,12,0
11,13,1
11,14,0
11,15,1
11,16,0
11,17,0
11,18,0
11,19,0
11,20,0
12,0,1
12,1,3
12,2,0
12,3,1
12,4,3
12,5,5
12,6,0
12,7,2
12,8,2
12,9,0
12,10,3
12,11,1
12,12,1
12,13,1
12,14,3
12,15,1
12,16,0
12,17,6
12,18,6
12,19,3
12,20,0
13,0,1
13,1,3
13,2,0
13,3,1
13,4,3
13,5,5
13,6,0
13,7,2
13,8,2
13,9,0
13,10,3
13,11,1
13,12,1
13,13,1
13,14,2
13,15,1
13,16,0
13,17,6
13,18,6
13,19,2
13,20,0
14,0,1
14,1,1
14,2,1
14,3,2
14,4,0
14,5,0
14,6,1
14,7,3
14,8,4
14,9,0
14,10,0
14,11,1
14,12,1
14,13,1
14,14,1
14,15,1
14,16,2
14,17,2
14,18,0
14,19,0
14,20,1
15,0,134
15,1,143
15,2,126
15,3,124
15,4,141
15,5,133
15,6,131
15,7,112
15,8,127
15,9,131
15,10,113
15,11,116
15,12,129
15,13,130
15,14,135
15,15,134
15,16,124
15,17,134
15,18,129
15,19,115
15,20,130
16,0,0
16,1,0
16,2,0
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,0
16,9,0
16,10,0
16,11,0
16,12,0
16,13,0
16,14,0
16,15,0
16,16,0
16,17,0
16,18,1
16,19,0
16,20,0
17,0,0
17,1,0
17,2,0
17,3,0
17,4,0
17,5,0
17,6,0
17,7,0
17,8,0
17,9,1
17,10,0
17,11,0
17,12,0
17,13,0
17,14,0
17,15,0
17,16,0
17,17,0
17,18,0
17,19,0
17,20,0
18,0,1
18,1,1
18,2,0
18,3,1
18,4,0
18,5,2
18,6,2
18,7,2
18,8,1
18,9,1
18,10,1
18,11,2
18,12,2
18,13,3
18,14,0
18,15,1
18,16,2
18,17,0
18,18,0
18,19,0
18,20,0
19,0,1
19,1,1
19,2,1
19,3,0
19,4,0
19,5,0
19,6,1
19,7,0
19,8,0
19,9,0
19,10,0
19,11,0
19,12,1
19,13,0
19,14,0
19,15,1
19,16,0
19,17,0
19,18,0
19,19,0
19,20,0
20,0,1
20,1,0
20,2,0
20,3,0
20,4,0
20,5,0
20,6,0
20,7,0
20,8,0
20,9,0
20,10,0
20,11,1
20,12,0
20,13,0
20,14,0
20,15,0
20,16,0
20,17,0
20,18,0
20,19,0
20,20,0
21,0,0
21,1,0
21,2,0
21,3,2
21,4,0
21,5,0
21,6,0
21,7,0
21,8,0
21,9,0
21,10,0
21,11,0
21,12,1
21,13,0
21,14,0
21,15,0
21,16,0
21,17,0
21,18,0
21,19,0
21,20,1
22,0,5
22,1,1
22,2,5
22,3,2
22,4,1
22,5,4
22,6,6
22,7,3
22,8,1
22,9,7
22,10,1
22,11,1
22,12,1
22,13,2
22,14,4
22,15,2
22,16,2
22,17,5
22,18,1
22,19,1
22,20,1
23,0,4
23,1,3
23,2,6
23,3,6
23,4,4
23,5,6
23,6,3
23,7,4
23,8,4
23,9,6
23,10,3
23,11,3
23,12,2
23,13,0
23,14,4
23,15,2
23,16,4
23,17,3
23,18,3
23,19,7
23,20,5
24,0,1
24,1,7
24,2,7
24,3,7
24,4,7
24,5,5
24,6,6
24,7,4
24,8,4
24,9,8
24,10,8
24,11,3
24,12,5
24,13,3
24,14,8
24,15,4
24,16,3
24,17,6
24,18,4
24,19,5
24,20,4
25,0,0
25,1,1
25,2,0
25,3,0
25,4,0
25,5,0
25,6,0
25,7,1
25,8,1
25,9,0
25,10,0
25,11,0
25,12,0
25,13,1
25,14,0
25,15,0
25,16,0
25,17,0
25,18,1
25,19,0
25,20,0
26,0,1
26,1,0
26,2,1
26,3,2
26,4,0
26,5,0
26,6,1
26,7,0
26,8,1
26,9,0
26,10,1
26,11,0
26,12,0
26,13,1
26,14,0
26,15,2
26,16,0
26,17,0
26,18,2
26,19,1
26,20,0
27,0,1
27,1,1
27,2,0
27,3,0
27,4,2
27,5,0
27,6,2
27,7,0
27,8,0
27,9,0
27,10,0
27,11,0
27,12,0
27,13,0
27,14,0
27,15,0
27,16,0
27,17,0
27,18,1
27,19,0
27,20,1
28,0,4
28,1,1
28,2,1
28,3,2
28,4,1
28,5,2
28,6,3
28,7,2
28,8,0
28,9,1
28,10,3
28,11,3
28,12,5
28,13,1
28,14,1
28,15,4
28,16,2
28,17,0
28,18,3
28,19,2
28,20,2
29,0,1
29,1,1
29,2,3
29,3,1
29,4,2
29,5,2
29,6,3
29,7,0
29,8,1
29,9,1
29,10,1
29,11,1
29,12,0
