lno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1,2,6,2,1,5,2,4,2,3,2,2,0,0,3,5,7,3,1,0
2,0,2,5,2,3,4,2,2,0,2,1,0,1,4,1,4,3,1,2,4,5
3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,1,0,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
5,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1
6,4,0,1,4,2,1,4,1,3,2,3,2,2,0,0,3,5,7,3,1,0
7,1,2,2,1,1,6,5,1,2,0,4,5,8,4,1,5,3,2,2,2,5
8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,1,2,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0
11,2,0,0,1,2,1,0,0,0,3,1,0,0,1,0,1,1,0,0,2,0
12,1,2,1,1,0,2,2,5,3,0,1,1,4,2,1,3,1,1,1,1,0
13,1,2,1,1,0,2,2,5,3,0,1,1,4,2,0,3,1,1,1,1,0
14,0,1,0,0,2,1,2,0,2,3,0,2,0,1,0,1,2,0,4,1,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,1,3,0,1,0,3,2,2,2,0,2,1,1,1,2,1,1,0,0,2
19,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1
20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,3,5,6,3,2,0,3,2,5,2,1,1,4,1,2,2,2,3,1,4
23,3,2,2,3,2,3,3,1,5,2,2,6,1,1,5,1,2,0,3,3,5
24,5,3,4,3,3,4,4,2,4,2,1,5,10,2,2,3,1,4,5,2,2
25,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
26,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
27,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
28,2,0,2,0,0,0,2,1,1,0,2,3,2,1,2,0,4,2,2,0,3
29,2,1,1,1,0,0,1,0,1,0,0,3,2,2,1,1,0,1,0,2,1
30,2,3,2,4,3,2,6,6,1,5,3,3,4,3,2,3,1,1,4,4,2
31,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,2,0,1,1,0,0
32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,1,0,0,0,0
34,0,1,2,2,2,3,1,1,0,2,1,0,0,3,0,4,3,1,2,2,4
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,1,0,1,1,3,3,0,0,0,2,3,5,3,0,3,2,0,1,0,4
37,1,1,1,0,1,1,1,2,2,0,0,0,0,2,1,1,1,0,1,0,0
38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,4,2,4,4,2,3,0,4,2,1,1,1,0,2,1,2,1,2,1,2
40,4,2,7,4,12,12,10,8,8,8,6,7,9,10,1,8,7,4,6,16,4
41,2,1,1,7,1,6,1,0,4,2,2,2,4,3,2,2,3,2,5,5,2
42,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
43,0,0,1,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,1
44,0,2,5,2,3,4,2,2,0,2,1,0,1,4,1,4,3,1,2,4,5
45,2,3,2,0,6,0,4,0,1,3,2,0,1,3,2,1,4,1,2,1,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,4,1,2,3,0,1,0,3,0,2,2,2,3,4,0,0,1,3,0,1
48,0,0,1,0,0,0,0,1,0,1,0,1,2,1,1,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,0,1,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
51,2,1,3,4,4,4,3,3,1,2,5,2,7,8,7,3,2,6,5,2,5
52,4,5,5,9,4,5,10,5,12,6,5,6,7,9,7,3,7,4,6,5,6
53,3,0,2,2,1,3,4,4,0,2,3,2,1,1,4,2,3,1,3,4,3
54,2,3,0,1,2,3,2,1,1,1,1,0,1,3,2,3,3,4,2,5,1
55,1,1,1,1,2,1,0,1,0,0,2,1,1,3,1,4,4,2,2,2,2
56,1,0,0,2,1,0,1,0,0,0,1,1,1,1,0,1,2,0,1,0,1
57,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
58,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,3,0,4,1,3,0,0,0,3,1,0,2,3,2,2,2,3,1,3,5,0
64,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1
65,1,3,4,6,3,2,0,3,2,4,2,1,1,4,1,2,2,3,3,2,4
66,2,2,2,2,1,1,1,5,0,0,0,1,0,0,0,2,3,4,1,0,1
